证券代码,证券简称,行业中类,行业大类,行业门类,行业来源,更新截止
603129,春风动力,摩托车,铁路、船舶、航空航天和其他运输设备制造业,制造业,cninfo_stock_industry_change,20260423
603156,养元饮品,软饮料,酒、饮料和精制茶制造业,制造业,cninfo_stock_industry_change,20260423
603160,汇顶科技,模拟芯片设计,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
603179,新泉股份,汽车电子电气系统,汽车制造业,制造业,cninfo_stock_industry_change,20260423
603195,公牛集团,其他家居用品,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
603225,新凤鸣,涤纶,化学纤维制造业,制造业,cninfo_stock_industry_change,20260423
603228,景旺电子,印制电路板,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
603233,大参林,线下药店,零售业,批发和零售业,cninfo_stock_industry_change,20260423
603259,药明康德,医疗研发外包,研究和试验发展,科学研究和技术服务业,cninfo_stock_industry_change,20260423
603260,合盛硅业,有机硅,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
603288,海天味业,调味发酵品Ⅲ,食品制造业,制造业,cninfo_stock_industry_change,20260423
603290,斯达半导,分立器件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
603296,华勤技术,消费电子零部件及组装,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
603298,杭叉集团,工程机械整机,通用设备制造业,制造业,cninfo_stock_industry_change,20260423
603338,浙江鼎力,工程机械整机,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
603341,龙旗科技,消费电子零部件及组装,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
603345,安井食品,预加工食品,农副食品加工业,制造业,cninfo_stock_industry_change,20260423
603369,今世缘,白酒Ⅲ,酒、饮料和精制茶制造业,制造业,cninfo_stock_industry_change,20260423
603379,三美股份,氟化工及制冷剂,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
603392,万泰生物,疫苗,医药制造业,制造业,cninfo_stock_industry_change,20260423
603444,吉比特,游戏Ⅲ,互联网和相关服务,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
603486,科沃斯,清洁小家电,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
603501,豪威集团,数字芯片设计,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
603529,爱玛科技,其他交运设备,铁路、船舶、航空航天和其他运输设备制造业,制造业,cninfo_stock_industry_change,20260423
603565,中谷物流,航运,水上运输业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
603568,伟明环保,固废治理,生态保护和环境治理业,水利、环境和公共设施管理业,cninfo_stock_industry_change,20260423
603589,口子窖,白酒Ⅲ,酒、饮料和精制茶制造业,制造业,cninfo_stock_industry_change,20260423
603596,伯特利,底盘与发动机系统,汽车制造业,制造业,cninfo_stock_industry_change,20260423
603605,珀莱雅,品牌化妆品,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
603606,东方电缆,线缆部件及其他,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
