universe,period,factor_id,name,intro,algorithmIntro,compound_return_1q,annual_return_1q,annual_ex_return_1q,max_drawdown_1q,sharpe_1q,turnover_mean_1q,compound_return_5q,annual_return_5q,annual_ex_return_5q,max_drawdown_5q,sharpe_5q,turnover_mean_5q,compound_return_ls,annual_return_ls,max_drawdown_ls,sharpe_ls,turnover_mean_ls,annual_return_bm,ic_mean,ir,good_ic,status,compound_return_ls2,annual_return_ls2,max_drawdown_ls2,sharpe_ls2,turnover_mean_ls2
hs300,10y,60c4af2afdd7b48ea40d625dfd3181dd,VOL10,10日平均换手率," 10日换手率的均值,单位为%",0.379131,0.033695,-0.008608,0.338053,-0.039481,0.046315,0.394726,0.034894,-0.007458,0.585637,-0.019564,0.047103,0.084401,0.008388,0.503495,-0.188441,0.046709,0.042670,-0.025179,-0.172000,0.910066,0,-0.298111,-0.035835,0.523794,-0.452061,0.046709
hs300,10y,39f0b1d5ecf9a556fefc08525cee8cc7,DAVOL10,10日平均换手率与120日平均换手率之比, 10日平均换手率 / 120日平均换手率,0.485059,0.041611,-0.001015,0.497925,0.009127,0.085724,1.138262,0.081501,0.037242,0.433323,0.205036,0.088659,0.400270,0.035317,0.398155,-0.037665,0.087191,0.042670,-0.015188,-0.143703,0.849422,0,-0.385311,-0.048931,0.584760,-0.715281,0.087191
hs300,10y,af00f847f1149af6c0348bc31784cc1d,VDEA,计算VMACD因子的中间变量, EMA(VDIFF，M)    short设置为12，long设置为26，M设置为9,0.360825,0.032272,-0.009972,0.383549,-0.044121,0.081594,1.207701,0.085070,0.040665,0.362272,0.252086,0.087231,0.544178,0.045811,0.217680,0.054284,0.084413,0.042670,-0.009474,-0.100322,0.825495,0,-0.420579,-0.054707,0.499564,-0.884660,0.084413
hs300,10y,65a64f6de2c45a57a949677298886539,super_quick_ratio,超速动比率, （货币资金+交易性金融资产+应收票据+应收帐款+其他应收款）／流动负债合计,1.073280,0.078065,0.033947,0.303232,0.200593,0.008528,2.127338,0.124732,0.078704,0.465914,0.403797,0.008447,0.471859,0.040653,0.335818,0.005713,0.008488,0.042670,0.000877,0.011813,0.788779,0,-0.401410,-0.051530,0.506289,-0.801162,0.008488
hs300,10y,7ad66bb35f3463256c2727c23c61813d,inventory_turnover_rate,存货周转率, 存货周转率=营业成本（TTM）/存货,2.085124,0.123157,0.077193,0.428553,0.386837,0.006828,0.522824,0.044311,0.001574,0.454559,0.023146,0.005116,-0.562926,-0.081786,0.583290,-1.047665,0.005972,0.042670,0.001343,0.013388,0.829620,0,1.006470,0.074431,0.204970,0.296195,0.005972
hs300,10y,631db4190f80277dc56a2378d0e45431,financial_expense_ttm,财务费用TTM, 计算过去12个月 财务费用 之和,1.936665,0.117461,0.071731,0.435634,0.373466,0.007434,0.779206,0.061198,0.017770,0.390751,0.109632,0.006410,-0.458510,-0.061282,0.630253,-0.764601,0.006922,0.042670,-0.002912,-0.032649,0.831683,0,0.557613,0.046746,0.398822,0.050925,0.006922
hs300,10y,3f48394a23109ffaad0dc26e31f9fc81,operating_profit_growth_rate,营业利润增长率, 营业利润增长率=(今年营业利润（TTM）/去年营业利润（TTM）)-1,0.412283,0.036229,-0.006177,0.276286,-0.020901,0.011802,1.014660,0.074883,0.030895,0.505256,0.161032,0.011868,0.399459,0.035255,0.399729,-0.035028,0.011835,0.042670,0.003761,0.038749,0.833814,0,-0.401958,-0.051619,0.502977,-0.676384,0.011835
hs300,10y,2a54003d2ab0cfc955ba75f3cb394d28,retained_profit_per_share,每股未分配利润, 每股未分配利润,0.874594,0.066927,0.023265,0.321865,0.175461,0.009705,1.624725,0.104599,0.059395,0.424314,0.322663,0.006083,0.419903,0.036804,0.341463,-0.027375,0.007894,0.042670,0.002990,0.032234,0.835396,0,-0.382958,-0.048557,0.517085,-0.758575,0.007894
hs300,10y,abb01ce718f9a1e70da3b3f7a1baec6f,VSTD20,20日成交量标准差, 20日成交量去标准差,1.270617,0.088218,0.043684,0.474645,0.261741,0.037927,0.745798,0.059126,0.015783,0.358144,0.096924,0.036975,-0.263116,-0.030987,0.646633,-0.603652,0.037451,0.042670,-0.007804,-0.081925,0.831683,0,0.186731,0.017806,0.580616,-0.188729,0.037451
hs300,10y,c944036bd6f747866feedf2f9524efde,long_debt_to_working_capital_ratio,长期负债与营运资金比率, 长期负债与营运资金比率=非流动负债合计/(流动资产合计-流动负债合计),0.544267,0.045817,0.003019,0.326770,0.034431,0.008916,0.672225,0.054436,0.011284,0.419115,0.073222,0.005924,0.077416,0.007717,0.336148,-0.302768,0.007420,0.042670,0.000611,0.008879,0.769389,0,-0.168747,-0.018873,0.322726,-0.552143,0.007420
hs300,10y,31cd352d712a7c5faaceedac8f3bf0dd,current_ratio,流动比率(单季度), 流动比率=流动资产合计/流动负债合计,0.539511,0.045485,0.002700,0.438980,0.027742,0.005892,2.407706,0.134731,0.088294,0.471581,0.433258,0.006635,1.133999,0.081278,0.172044,0.324320,0.006264,0.042670,0.000335,0.004435,0.790842,0,-0.599636,-0.090053,0.616005,-1.021814,0.006264
hs300,10y,b0a2fa90a93b383bbc1455926355ca03,net_operate_cash_flow_to_net_debt,经营活动产生现金流量净额/净债务, 经营活动产生现金流量净额/净债务,1.036760,0.076092,0.032055,0.534047,0.171357,0.016921,1.124016,0.080756,0.036528,0.470972,0.199968,0.015667,-0.018331,-0.001906,0.424835,-0.425986,0.016294,0.042670,0.003101,0.045336,0.782591,0,-0.072570,-0.007737,0.420245,-0.485262,0.016294
hs300,10y,1732be9c580e81be3d885c91081d6b6b,net_operate_cash_flow_to_asset,总资产现金回收率, 经营活动产生的现金流量净额(ttm) / 总资产,0.243469,0.022719,-0.019135,0.408743,-0.095723,0.011061,1.130019,0.081070,0.036829,0.545533,0.194021,0.010144,0.705638,0.056588,0.335898,0.144786,0.010602,0.042670,0.005026,0.060389,0.819719,0,-0.483860,-0.065911,0.552873,-0.924404,0.010602
hs300,10y,823f3c708f665c33c395c90658b7c440,ATR6,6日均幅指标, 真实振幅的6日移动平均,0.678647,0.054852,0.011684,0.328094,0.085700,0.036992,1.409814,0.094913,0.050106,0.532457,0.248134,0.050106,0.439193,0.038248,0.514749,-0.012922,0.043549,0.042670,-0.004734,-0.040543,0.864686,0,-0.418708,-0.054393,0.612568,-0.696079,0.043549
hs300,10y,7c57400c6a589e6d7b739dc17ff06af5,operating_revenue_per_share_ttm,每股营业收入TTM, 营业收入（TTM）除以总股本,1.100250,0.079503,0.035326,0.307631,0.280563,0.007444,0.994678,0.073779,0.029836,0.442689,0.168347,0.005185,-0.021146,-0.002201,0.389367,-0.353896,0.006315,0.042670,-0.001242,-0.015472,0.817244,0,-0.109995,-0.011941,0.284517,-0.435578,0.006315
hs300,10y,c5a1c9cceb85b74d9403f84ea3aaf378,administration_expense_ttm,管理费用TTM, 计算过去12个月 管理费用 之和,0.929009,0.070079,0.026288,0.391457,0.184588,0.012748,0.934448,0.070390,0.026586,0.393068,0.164596,0.008517,-0.021317,-0.002219,0.256201,-0.375811,0.010633,0.042670,0.008263,0.073587,0.856023,0,-0.095918,-0.010341,0.258936,-0.448114,0.010633
hs300,10y,ac65831fe83139cfe941926bf0369105,net_interest_expense,净利息费用, 利息支出-利息收入,0.657175,0.053453,0.010342,0.311850,0.077363,0.007391,0.915807,0.069322,0.025561,0.427267,0.114783,0.012436,0.135602,0.013196,0.421161,-0.136567,0.009914,0.042670,-0.015009,-0.050217,0.946738,0,-0.394042,-0.050333,0.596092,-0.460245,0.009914
hs300,10y,8c40637870525387b80da1acd0059852,non_current_asset_ratio,非流动资产比率, 非流动资产比率=非流动资产合计/总资产,2.527698,0.138787,0.092184,0.466512,0.448611,0.005433,-0.072383,-0.007716,-0.048324,0.465301,-0.262369,0.005352,-0.776788,-0.143243,0.779861,-1.356305,0.005393,0.042670,-0.002544,-0.030485,0.809406,0,2.750154,0.145989,0.200468,0.784492,0.005393
hs300,10y,1298cb0372371423c73e3de72fdf22a0,value_change_profit_ttm,价值变动净收益TTM, 计算过去12个月 价值变动净收益 之和,1.591970,0.103170,0.058024,0.424535,0.330693,0.013381,0.429615,0.037533,-0.004926,0.373627,-0.013589,0.008963,-0.489872,-0.067038,0.544611,-0.954079,0.011172,0.042670,0.006381,0.072114,0.821782,0,0.734778,0.058435,0.256326,0.164322,0.011172
hs300,10y,75b01ffe8d8d68d2b931ff93c5864df9,net_asset_per_share,每股净资产, 归属母公司所有者权益合计除以总股本,1.139111,0.081545,0.037285,0.310172,0.277566,0.008580,1.048411,0.076725,0.032662,0.446688,0.185937,0.005842,-0.017893,-0.001860,0.387274,-0.391703,0.007211,0.042670,0.001153,0.014146,0.814356,0,-0.088523,-0.009510,0.349253,-0.463293,0.007211
