universe,period,factor_id,name,intro,algorithmIntro,compound_return_1q,annual_return_1q,annual_ex_return_1q,max_drawdown_1q,sharpe_1q,turnover_mean_1q,compound_return_5q,annual_return_5q,annual_ex_return_5q,max_drawdown_5q,sharpe_5q,turnover_mean_5q,compound_return_ls,annual_return_ls,max_drawdown_ls,sharpe_ls,turnover_mean_ls,annual_return_bm,ic_mean,ir,good_ic,status,compound_return_ls2,annual_return_ls2,max_drawdown_ls2,sharpe_ls2,turnover_mean_ls2
zz500,10y,a8cab4f0dac3471926ddb64929d6c0fb,average_share_turnover_annual,年度平均月换手率, ln(sum(turn_over_ratio)/12)，turn_over_ratio为过去十二个月（252个交易日）的平均换手率,1.108966,0.079964,0.045656,0.321908,0.235917,0.005583,0.151158,0.014618,-0.017614,0.589692,-0.089256,0.005758,-0.409535,-0.052865,0.670319,-0.489132,0.005670,0.032810,-0.022104,-0.121443,0.908791,0,0.193845,0.018434,0.491793,-0.113592,0.005670
zz500,10y,f4004e8d9fda8ac81e54ce0079a1fa51,daily_standard_deviation,日收益率标准差, sqrt(sum(w_t*(r_t - r_mean)**2))，其中r_t为过去252个交易日的日收益率，w_t为半衰期为42个交易日的指数权重，满足w(t-42)=0.5*w(t),0.827871,0.064155,0.030349,0.346475,0.151830,0.018524,0.087380,0.008674,-0.023370,0.629799,-0.105615,0.024232,-0.371779,-0.046794,0.657873,-0.382994,0.021378,0.032810,-0.038606,-0.169926,0.926950,0,-0.032853,-0.003438,0.515162,-0.191678,0.021378
zz500,10y,ae0abd5ad166356aacbbbd1e6744372c,debt_to_assets,资产负债率, 总负债账面价值 / 总资产账面价值,0.479972,0.041243,0.008164,0.386849,0.005710,0.002821,0.267523,0.024741,-0.007813,0.444664,-0.071176,0.002454,-0.199505,-0.022680,0.429850,-0.557071,0.002637,0.032810,0.003169,0.027606,0.859678,0,0.104894,0.010337,0.280401,-0.263637,0.002637
zz500,10y,6ff7356df5af8d066b669c58a8db90ff,relative_strength,相对强弱, sum(w_t * ln(1 + r_t))，其中r_t取滞后21个交易日的前504个交易日的close数据，w_t为半衰期为126天的指数权重，满足w(t-126)=0.5*w(t),-0.117434,-0.012796,-0.044157,0.574374,-0.222452,0.055799,0.818910,0.063615,0.029827,0.501349,0.096321,0.054238,0.740302,0.058782,0.437337,0.095341,0.055019,0.032810,0.005347,0.028292,0.905902,0,-0.605728,-0.091491,0.669387,-0.667460,0.055019
zz500,10y,c9eeea7e76d920a339f453424d37e762,sales_growth,5年营业收入增长率, 过去5个财年的 每股营业收入增长 除以 年均每股营业收入,0.214127,0.020204,-0.012206,0.405037,-0.091784,0.003328,0.800770,0.062517,0.028763,0.437869,0.102043,0.003984,0.448698,0.038952,0.238621,-0.012558,0.003656,0.032810,-0.000441,-0.005918,0.782088,0,-0.354807,-0.044171,0.406762,-1.009032,0.003656
zz500,10y,274b83618b740aa8c5fff42a95486ffc,residual_volatility,残差波动因子, 0.74 * 日收益率标准差(DASTD) + 0.16 * 收益离差(CMRA) + 0.1 * 残差历史波动率(HSIGMA)，之后将结果和beta因子，市值因子做回归，取残差,0.894007,0.068061,0.034131,0.352997,0.149093,0.037163,-0.202738,-0.023087,-0.054122,0.611026,-0.249901,0.038351,-0.575666,-0.084582,0.687393,-0.763771,0.037757,0.032810,-0.041764,-0.289780,0.900949,0,0.820258,0.063697,0.357572,0.145277,0.037757
zz500,10y,dc32073aa6f46d886979e922e87c2ef9,beta,BETA,一元线性回归求解 beta=sum(w_t*(r_t-r_mean)*(R_t-R_mean))/sum(w_t*(R_t-R_mean)^2)，其中r_t、R_t分别使用前252个交易日的股票和中证流通指数的close数据，w_t为半衰期为63个交易日的指数加权平均权重，w_t=0.5**(t/63),0.114902,0.011276,-0.020850,0.411716,-0.182560,0.023184,0.986132,0.073303,0.039207,0.520950,0.109975,0.025291,0.896345,0.068197,0.465829,0.121107,0.024237,0.032810,-0.011219,-0.046369,0.940157,0,-0.688486,-0.113291,0.746103,-0.658394,0.024237
zz500,10y,16dd4833c082c34e063c6f8d6151dd92,MAC5,5日移动均线, 5日移动均线 / 今日收盘价,0.113543,0.011149,-0.020973,0.553878,-0.131107,0.434397,0.879971,0.067242,0.033338,0.458909,0.113914,0.426625,0.602088,0.049788,0.337558,0.069338,0.430511,0.032810,0.041585,0.319873,0.882377,0,-0.485605,-0.066237,0.626601,-0.752567,0.430511
zz500,10y,e617bc626eb38b30797c7fb5eeeb69c4,boll_up,上轨线（布林线）指标," (MA(CLOSE,M)+2*STD(CLOSE,M)) / 今日收盘价; M=20",0.674651,0.054593,0.021091,0.531936,0.071746,0.261831,0.075597,0.007541,-0.024466,0.441263,-0.131607,0.161953,-0.357406,-0.044568,0.435318,-0.603239,0.211892,0.032810,0.015795,0.113398,0.876187,0,0.286040,0.026274,0.365795,-0.097910,0.211892
zz500,10y,91f9cd6845fbf2ecc4569608c1209569,EMAC26,26日指数移动均线, 26日指数移动均线 / 今日收盘价,0.066919,0.006700,-0.025281,0.554696,-0.146839,0.211550,0.505995,0.043115,0.009978,0.433303,0.013320,0.197588,0.279269,0.025716,0.248439,-0.092582,0.204569,0.032810,0.035500,0.245856,0.887330,0,-0.379500,-0.048008,0.474782,-0.570412,0.204569
